33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
33,33,33,33,33,33,33,33,33,33,33,33,40,36,41,33,33,33,33,33
33,33,40,36,36,41,33,40,36,36,36,41,34,5,32,33,33,33,33,33
33,33,34,5,5,35,33,34,5,5,5,32,34,5,32,33,33,33,33,33
33,40,37,5,5,5,32,34,5,5,5,35,37,5,35,41,33,33,33,33
33,34,6,5,5,5,32,39,31,5,5,6,6,5,5,32,33,40,36,41
33,34,6,5,6,6,35,36,37,5,6,6,5,5,5,5,5,6,6,32
33,34,6,5,5,5,5,5,5,5,6,6,5,5,29,38,33,39,30,38
33,39,31,6,5,5,29,30,31,5,5,5,5,5,35,36,36,41,33,33
33,33,39,31,5,29,38,33,39,31,5,5,5,5,5,5,6,32,33,33
33,33,40,37,5,35,41,33,33,34,5,5,5,29,30,30,30,38,33,33
33,33,34,6,5,6,35,36,41,39,31,5,29,38,33,33,33,33,33,33
33,33,34,6,6,6,5,5,32,33,34,5,32,40,36,41,33,33,33,33
33,33,34,6,6,6,29,30,38,33,34,5,5,5,5,32,33,33,33,33
33,33,39,30,30,30,38,33,33,33,39,30,38,39,30,38,33,33,33,33
